Q2,Q2_corr,Q2_corr_err,xbj_set,xbj,xbj_corr,xbj_corr_err,z_set,z,z_corr,z_corr_err,RunGroup,y_RD,error_RD,y_RD_rho,RY,RY_rho,RY_1p8rho,RY_noexc,RY_nodelta,error,yield_neg,yield_pos,yield_neg_data,error_neg,yield_pos_data,error_pos,charge_neg_all,charge_pos_all,yield_neg_exc,yield_neg_delta,yield_neg_rho,yield_pos_exc,yield_pos_delta,yield_pos_rho,yield_neg_incnorad,yield_neg_incrad,yield_pos_incnorad,yield_pos_incrad,W2_corr,Wp2_corr,xprime_corr,zprime_corr,shms_p,shms_dp
4,3.3735,0.0104451,0.35,0.275000,0.27853,7.51972e-05,0.4,0.325000,0.344209,7.4219e-06,100,9.32534,4.71822,9.01427,0.774865,0.769484,0.765054,0.766137,0.763146,0.0797154,4.59746,5.93324,4.64518,0.415235,6.06972,0.292249,69.1702,125.853,0.0124315,0.0333765,0.0992009,0.0453376,0.100547,0.0992009,5.60438,5.3798,8.151,8.7125,9.62363,6.52182,0.273108,0.337373,2.22253,-8.4677
4,3.37687,0.00799161,0.35,0.275000,0.282184,7.13191e-05,0.4,0.375000,0.373995,0.000101318,100,4.50596,0.686484,4.19055,0.647306,0.633724,0.622111,0.631909,0.631357,0.0284646,23.5078,36.3164,23.7946,0.917473,37.0024,0.735798,69.1702,125.853,0.176822,0.0983501,1.26323,0.381393,0.285528,1.26323,35.4019,33.9672,52.2889,50.8403,9.47819,6.17107,0.276202,0.365743,2.38725,-1.68391
4,3.7899,0.0163683,0.35,0.325000,0.324561,0.000100864,0.4,0.375000,0.376576,9.30223e-05,100,6.14613,0.794755,5.77133,0.704321,0.692979,0.683359,0.689531,0.690138,0.0231608,43.2107,61.3509,43.6402,1.25159,62.5153,0.955151,69.1702,125.853,0.25144,0.145449,1.88409,0.672414,0.459473,1.88409,55.3686,51.1628,83.3495,81.0216,8.77445,5.71133,0.316579,0.366865,2.3445,-3.44451
4,4.20537,0.0166296,0.35,0.375000,0.371173,9.5191e-05,0.4,0.375000,0.38096,8.01527e-05,100,6.25143,1.07053,6.04089,0.707358,0.701222,0.696133,0.698647,0.695499,0.0305599,26.5322,37.5089,26.9546,1.00367,38.5533,0.782756,69.1702,125.853,0.130223,0.248907,0.66846,0.312671,0.638904,0.66846,29.1943,26.2074,44.6229,40.6557,8.01211,5.19513,0.360311,0.369777,2.3007,-5.24806
4,4.59426,0.0113553,0.35,0.425000,0.418462,8.89309e-05,0.4,0.375000,0.386497,4.23091e-05,100,3.22178,0.872167,3.08622,0.58459,0.576643,0.570054,0.575171,0.57238,0.0501687,7.13136,12.1989,7.23691,0.549734,12.5028,0.460083,69.1702,125.853,0.0262834,0.0655748,0.20403,0.0711164,0.188853,0.20403,7.62266,6.63342,11.7916,10.0885,7.27071,4.67881,0.404638,0.374082,2.26198,-6.84281
4,3.37476,0.0077471,0.35,0.275000,0.282209,7.02987e-05,0.4,0.425000,0.423549,0.00010253,100,6.10822,1.00516,5.69672,0.703212,0.690617,0.679879,0.689008,0.6858,0.0295126,20.4301,29.0526,20.8371,0.747679,29.9069,0.596822,69.1702,125.853,0.253365,0.147277,1.03725,0.457318,0.432459,1.03725,27.5605,27.13,41.6134,43.3405,9.47204,5.73978,0.276355,0.414311,2.70267,11.3065
4,3.77116,0.0152765,0.35,0.325000,0.325852,0.000100707,0.4,0.425000,0.423303,0.000103864,100,5.14116,0.571082,4.79718,0.671814,0.658981,0.647973,0.656686,0.653871,0.020503,41.0245,61.0653,41.7904,1.09289,62.8991,0.909259,69.1702,125.853,0.334134,0.405247,2.21297,0.708082,1.06456,2.21297,54.1587,52.285,83.342,80.5608,8.69119,5.29417,0.316613,0.411522,2.61423,7.66409
4,4.14678,0.0187876,0.35,0.375000,0.372786,9.91313e-05,0.4,0.425000,0.423676,0.000101861,100,5.10912,0.669008,4.80428,0.67066,0.659257,0.649579,0.65638,0.653305,0.024188,33.9692,50.6504,34.5315,1.07748,52.1709,0.869413,69.1702,125.853,0.228377,0.280977,1.48727,0.551841,0.848959,1.48727,41.8548,37.9149,65.3152,60.1744,7.86439,4.8015,0.362143,0.41093,2.51419,3.54401
4,4.56804,0.0132222,0.35,0.425000,0.420553,9.649e-05,0.4,0.425000,0.424066,0.000103289,100,5.65077,1.22797,5.38786,0.689144,0.680438,0.673142,0.675023,0.672237,0.0395536,14.2975,20.7468,14.6411,0.721022,21.6664,0.568573,69.1702,125.853,0.0808537,0.227129,0.481538,0.271844,0.573021,0.481538,15.8063,14.1675,24.9518,22.9247,7.17994,4.37965,0.406676,0.410001,2.45689,1.18417
4,4.96676,0.00763292,0.35,0.475000,0.468384,8.59567e-05,0.4,0.425000,0.423912,0.000105152,100,4.27322,1.69187,4.10527,0.637384,0.629871,0.623653,0.626959,0.624381,0.074155,3.70202,5.80814,3.77381,0.383947,5.99954,0.306199,69.1702,125.853,0.0229215,0.0390587,0.095997,0.0616036,0.109722,0.095997,3.30026,2.84931,5.24914,4.69857,6.52255,3.96971,0.451056,0.408028,2.39735,-1.26792
4,3.37939,0.00663552,0.35,0.275000,0.284162,6.29238e-05,0.4,0.475000,0.463215,4.44701e-05,100,3.1871,0.698469,2.6547,0.582585,0.549191,0.518208,0.545036,0.545649,0.0405659,6.80326,11.6777,6.97,0.41866,12.1357,0.380469,69.1702,125.853,0.107862,0.0568547,0.869997,0.275102,0.170852,0.869997,11.1477,11.0121,17.1461,16.6938,9.40144,5.36037,0.277944,0.453671,2.93967,21.0669
4,3.74622,0.0136335,0.35,0.325000,0.326952,0.000100349,0.4,0.475000,0.469486,8.64812e-05,100,5.72048,0.850009,5.2363,0.691373,0.675195,0.661052,0.674476,0.668928,0.0269879,22.9008,33.1237,23.3996,0.775162,34.1949,0.644012,69.1702,125.853,0.295336,0.18461,1.52947,0.47895,0.570883,1.52947,31.9029,30.6957,50.1907,49.1891,8.60111,4.88712,0.318654,0.457716,2.87041,18.2146
4,4.12426,0.0190548,0.35,0.375000,0.37272,9.82071e-05,0.4,0.475000,0.472098,0.0001011,100,4.8426,0.677985,4.44935,0.660733,0.644943,0.631261,0.641934,0.63899,0.0260124,24.2372,36.6823,24.7353,0.833973,37.9515,0.701731,69.1702,125.853,0.255099,0.203489,1.46163,0.557466,0.629316,1.46163,29.8309,27.4673,47.7471,44.6445,7.82705,4.44397,0.361754,0.458201,2.78688,14.7746
4,4.56139,0.0130432,0.35,0.425000,0.420186,9.42498e-05,0.4,0.475000,0.47336,0.000101755,100,4.67941,0.962787,4.38863,0.654354,0.642373,0.632129,0.641356,0.634845,0.0383417,11.5821,17.7001,11.8351,0.591377,18.3262,0.508783,69.1702,125.853,0.0965932,0.128953,0.551186,0.170858,0.375097,0.551186,12.6707,11.2979,20.5803,17.944,7.18014,4.06726,0.406305,0.457818,2.74167,12.9127
4,4.95226,0.00741871,0.35,0.475000,0.46745,8.23966e-05,0.4,0.475000,0.473552,0.000104188,100,6.29343,2.96193,5.99357,0.708552,0.699807,0.692503,0.696096,0.684419,0.0838639,2.99698,4.22972,3.09608,0.309831,4.48885,0.243761,69.1702,125.853,0.0204944,0.0685156,0.0954785,0.0528241,0.196962,0.0954785,2.63772,2.36907,4.32417,4.16821,6.52701,3.69041,0.449729,0.456297,2.67654,10.2301
4,3.69282,0.00458123,0.35,0.325000,0.335919,5.92338e-05,0.4,0.525000,0.508179,2.29358e-05,100,4.40931,2.25515,3.75673,0.643252,0.613239,0.585506,0.610756,0.605749,0.0956702,1.67732,2.60756,1.73027,0.218447,2.73423,0.187289,69.1702,125.853,0.0264072,0.0204719,0.174816,0.0527432,0.0611651,0.174816,2.61747,2.31715,4.20506,3.78151,8.18854,4.38819,0.326991,0.495433,2.98156,22.7923
4,4.02746,0.0134209,0.35,0.375000,0.374795,9.73536e-05,0.4,0.525000,0.513994,5.39857e-05,100,3.94429,0.991782,3.59717,0.62237,0.605116,0.590005,0.602953,0.598156,0.047144,5.85203,9.40281,6.00102,0.386211,9.78718,0.34961,69.1702,125.853,0.0712376,0.073417,0.423239,0.143934,0.21578,0.423239,7.48052,7.26325,12.2247,11.4406,7.60256,4.03889,0.362885,0.498632,2.94644,21.3459
4,4.52359,0.0138895,0.35,0.425000,0.422452,9.99255e-05,0.4,0.525000,0.514302,5.53431e-05,100,5.68031,2.11457,4.88692,0.690093,0.662425,0.63704,0.657494,0.650323,0.0676963,3.87719,5.61837,4.01297,0.331195,5.96246,0.270984,69.1702,125.853,0.0519742,0.0719415,0.383579,0.12065,0.209462,0.383579,4.8848,4.45803,8.11573,7.78595,7.06816,3.75061,0.407185,0.496982,2.93761,20.9821
4,4.96013,0.00850605,0.35,0.475000,0.468895,8.89828e-05,0.4,0.525000,0.518252,6.1384e-05,100,7.61893,4.49281,7.0006,0.741801,0.727288,0.714715,0.725843,0.718095,0.0998406,1.94954,2.62812,1.99595,0.226654,2.72968,0.178222,69.1702,125.853,0.0174127,0.0252969,0.109874,0.0305665,0.0693369,0.109874,1.36141,1.25298,2.29276,2.25521,6.50271,3.42001,0.45022,0.498878,2.92536,20.4777
4,3.86027,0.016253,0.35,0.325000,0.322733,0.000101341,0.5,0.425000,0.439004,2.9942e-05,90,5.89301,1.49291,5.70194,0.696756,0.690783,0.685842,0.676868,0.683827,0.0457613,10.8762,15.6098,11.2076,0.506287,16.5689,0.723236,111.463,62.5913,0.210928,0.0802937,0.256331,0.597402,0.258254,0.256331,13.073,11.4876,20.3102,18.1191,8.98491,5.3323,0.314795,0.428949,2.80081,-7.77446
